"","word1","word2","date","year","month","day","filename"
"64","mid","october","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"65","political","conclusions","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"66","republican","candidates","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"67","real","war","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"68","war","captures","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"69","strange","surroundings","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"70","normal","political","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"71","rural","districts","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"72","urban","registration.rules","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"73","republican","drift","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"74","periscope","preview","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"75","preview","vast","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"76","people.are","dissatisfied","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"77","administration","countless","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"78","countless","votes","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"79","president’s","scolding","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"80","labor","votes","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"81","agricultural","regions","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"82","led","people","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"83","gubernatorial","cam‘paigns","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"84","firsthand","study","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"85","widely","separated","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"86","york","kansas","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"87","curious","mix","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"88","party","behavior","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"89","pretty","uninspiring","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"90","uninspiring","candidate","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"91","manager","farley","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"92","upstate","republican","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"93","unprecedented","feat","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"94","bennett","dewey","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"95","roosevelt","administration","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"96","administration","vigorously","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"97","city","bennett","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"98","october","patent","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"99","patent","office","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"100","office","moley","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"101","moley","talk","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"102","losing","support","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"103","support","upstate","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"104","election","kansas","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"105","spiritedprimary","contest","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"106","contest","senator","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"107","senator","reed","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"108","republican","nomination","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"109","labor","platform","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"110","aridrew","schoeppel","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"111","clean","cut","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"112","respected","lawyer","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"113","lawyer","froma","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"114","western","kahsas","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"115","kahsas","won","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"116","william","burke","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"117","appointive","offices","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"118","easy","victory","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"119","real","color","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"120","californ","fight","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"121","fight","olson","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"122","elected","inby","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"123","indiscriminate","collection","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"124","eggers","labor","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"125","dealers","sinclairites","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"126","sinclairites","single","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"127","single","taxers","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"128","riotous","time","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"129","opponent","earl","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"130","earl","warren","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"131","im","presses","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"132","republican","pri","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"133","democratic","primary","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"134","ran","olson","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"135","sole","appeal","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"136","pregident","visited","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"137","visited","california","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"138","democratic","committee","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"139","olson","stuck","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"140","distinguished","visitor","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"141","presi","dent","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"142","los","angeles","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"143","san","diego","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"144","visited","naval","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"145","marine","establishments","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"146","venerable","beauty","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"147","san","juan","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"148","juan","capis","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"149","capis","trano","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"150","trano","surely","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"151","political","campaign","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"152","president’s","visit","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"153","saved","olson","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"154","late","reports","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"155","favor","warren","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"156","considerable","return","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"157","political","balance","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"158","cite","ay","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"159","ay","olan","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"160","olan","apap","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"161","apap","ak","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"162","ak","governors","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"163","house","lowest","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"164","lowest","opposition","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"165","opposition","leaders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"166","leaders","office","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"167","office","willkie","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"168","willkie","rep","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"169","rep","isolationist","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"170","war","effort","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"171","republican","leaders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"172","main","middle","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"173","extremists","coattail","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"174","coattail","riders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"175","national","temper","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"176","jim","farley’s","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"177","farley’s","future","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"178","farley","continue","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"179","supby","conservative","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"180","conservative","democrats","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"181","war","effort","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"182","vigorous","prosecuted","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"183","tonic","effect","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"184","league","office","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"185","office","election","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"186","election","congress","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"187","congress","winning","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"188","feuding","ing","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"189","party","alike","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"190","alike","burden","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"191","burden","onstrate","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"192","onstrate","herald","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"193","public","morale","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"194","bethe","people","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"195","morale","building","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"196","wholeheartedly","tions","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"197","middle","west","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"198","republican","governors","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"199","approximately","threeof","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"200","nation","minority","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"201","greatly","increased","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"202","increased","representain","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"203","representain","congress","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"204","considerable","time","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"205","play","ties","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"206","ties","halted","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"207","halted","mand","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"208","straw","votes","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"209","votes","polls","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"210","accurate","pre","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"211","pre","election","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"212","election","polls","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"213","influenced","mayor","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"214","mayor","cratic","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"215","reelect","albert","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"216","albert","nash","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"217","current","hapare","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"218","affect","voters","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"219","voters","poliis","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"220","science","appeared","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"221","appeared","newsweek","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"222","reelected","fish","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"223","thirteenth","term","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"224","scant","margin","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"225","party","wendell","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"226","gov","elect","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"227","elect","thomas","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"228","dewey","clare","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"229","defeat","earnestly","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"230","earnestly","desired","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"231","deal","reelected","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"232","pre","pearl","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"233","pearl","harbor","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"234","harbor","interventionists","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"235","interventionists","fared","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"236","stassen","sen","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"237","sen","joseph","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"238","ball","minnesota","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"239","minnesota","rewho","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"240","primary","campaigns","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"241","murray","montana","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"242","montana","democrat","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"243","democrat","sen","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"244","sen","burton","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"245","fever","president","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"246","president","roosevelt’s","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"247","roosevelt’s","comment","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"248","surpriswrote","roscoe","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"249","roscoe","drummond","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"250","emaabeneng","effect","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"251","republican","commentators","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"252","gop","leaders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"253","york","tribune","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"254","key","posimen","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"255","posimen","sufficiently","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"256","sufficiently","wise","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"257","national","crisis","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"258","empty","success","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"259","success","leading","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"260","opportunileader","announcing","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"261","retirement","gop","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"262","national","chairman","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"263","congressional","duties","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"264","republican","comwas","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"265","comwas","set","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"266","rep","joseph","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"267","joseph","martin","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"268","martin","jr","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"269","massachusetts","house","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"270","outstanding","defeats","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"271","powerful","machine","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"272","frank","hague","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"273","jersey","city","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"274","city","demoboss","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"275","vice","chairof","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"276","national","committee","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"277","committee","failed","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"278","hawkes","republican","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"279","senator","brooks","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"280","democrats","march","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"281","victory","enjoy","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"282","superlative","instrument","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"283","buying","war","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"284","war","bonds","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"285","war's","earlier","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"286","building","soundly","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
